APP_NAME,-funsafe-math-optimizations ,-fno-guess-branch-probability ,-fno-ivopts ,-fno-tree-loop-optimize ,-fno-inline-functions ,-funroll-all-loops ,-O2 ,execution_time_1,execution_time_2,execution_time_3,execution_time_4,execution_time_5,code_size
linear-algebra/kernels/2mm,X,X,X,X,X,X,X,2E-05,0.000516,12.921907,15.84208,0,18912
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,X,X,X,X,X,X,2.1E-05,0.00056,15.733155,15.745937,0,20344
linear-algebra/kernels/2mm,X,-fno-guess-branch-probability ,X,X,X,X,X,2.1E-05,0.000563,16.122295,16.095634,0,18832
linear-algebra/kernels/2mm,X,X,-fno-ivopts ,X,X,X,X,2.3E-05,0.000567,16.193801,16.090122,0,18912
linear-algebra/kernels/2mm,X,X,X,-fno-tree-loop-optimize ,X,X,X,2.1E-05,0.000542,16.16948,15.978173,0,14792
linear-algebra/kernels/2mm,X,X,X,X,-fno-inline-functions ,X,X,2.1E-05,0.00054,16.03718,16.010525,0,18864
linear-algebra/kernels/2mm,X,X,X,X,X,-funroll-all-loops ,X,2E-05,0.000505,15.693856,15.52471,0,18912
linear-algebra/kernels/2mm,X,X,X,X,X,X,-O2 ,2E-05,0.000545,15.9009,15.73008,0,14744
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,-fno-guess-branch-probability ,X,X,X,X,X,2.1E-05,0.000572,15.554338,15.273332,0,20264
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,X,-fno-ivopts ,X,X,X,X,2.4E-05,0.000568,15.625999,15.322104,0,20344
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,X,X,-fno-tree-loop-optimize ,X,X,X,2.3E-05,0.000584,15.400054,15.35799,0,16224
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,X,X,X,-fno-inline-functions ,X,X,2E-05,0.000542,15.143893,15.204992,0,20296
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,X,X,X,X,-funroll-all-loops ,X,2E-05,0.000479,15.021259,14.910377,0,20344
linear-algebra/kernels/2mm,-funsafe-math-optimizations ,X,X,X,X,X,-O2 ,2E-05,0.000552,15.221062,15.127889,0,16176
linear-algebra/kernels/2mm,X,-fno-guess-branch-probability ,-fno-ivopts ,X,X,X,X,2.4E-05,0.000581,15.474362,15.492179,0,18832
