APPLICATION_NAME DATASET totInstruction ILP32 ILP64 ILP128 ILP256 total_ins_count_for_hpc_alignment totInstruction mem-read mem-write control-flow arithmetic floating-point stack shift string sse other nop InstrFootprint64 InstrFootprint4k DataFootprint64 DataFootprint4k mem_access memReuseDist0-2 memReuseDist2-4 memReuseDist4-8 memReuseDist8-16 memReuseDist16-32 memReuseDist32-64 memReuseDist64-128 memReuseDist128-256 memReuseDist256-512 memReuseDist512-1k memReuseDist1k-2k memReuseDist2k-4k memReuseDist4k-8k memReuseDist8k-16k memReuseDist16k-32k memReuseDist32k-64k memReuseDist64k-128k memReuseDist128k-256k memReuseDist256k-512k memReuseDist512k-00 GAg_mispred_cnt_4bits PAg_mispred_cnt_4bits GAs_mispred_cnt_4bits PAs_mispred_cnt_4bits GAg_mispred_cnt_8bits PAg_mispred_cnt_8bits GAs_mispred_cnt_8bits PAs_mispred_cnt_8bits GAg_mispred_cnt_12bits PAg_mispred_cnt_12bits GAs_mispred_cnt_12bits PAs_mispred_cnt_12bits total_brCount total_transactionCount total_takenCount total_num_ops instr_reg_cnt total_reg_use_cnt total_reg_age reg_age_cnt_1 reg_age_cnt_2 reg_age_cnt_4 reg_age_cnt_8 reg_age_cnt_16 reg_age_cnt_32 reg_age_cnt_64 mem_read_cnt mem_read_local_stride_0 mem_read_local_stride_8 mem_read_local_stride_64 mem_read_local_stride_512 mem_read_local_stride_4096 mem_read_local_stride_32768 mem_read_local_stride_262144 mem_read_global_stride_0 mem_read_global_stride_8 mem_read_global_stride_64 mem_read_global_stride_512 mem_read_global_stride_4096 mem_read_global_stride_32768 mem_read_global_stride_262144 mem_write_cnt mem_write_local_stride_0 mem_write_local_stride_8 mem_write_local_stride_64 mem_write_local_stride_512 mem_write_local_stride_4096 mem_write_local_stride_32768 mem_write_local_stride_262144 mem_write_global_stride_0 mem_write_global_stride_8 mem_write_global_stride_64 mem_write_global_stride_512 mem_write_global_stride_4096 mem_write_global_stride_32768 mem_write_global_stride_262144
2mm dataset1 326960 49338 41968 37029 33926 326604 326960 73265 27600 56769 201479 0 6068 3437 358 44383 12165 1121 2888 83 1068 60 73297 2559 32741 6362 6384 2627 15903 5397 499 248 159 151 250 17 0 0 0 0 0 0 0 5785 4731 5090 6243 7416 4616 5037 5305 10751 5314 4811 4914 52768 5651 4143 584929 199179 357729 402664 86684 108574 162316 236275 276501 297439 313355 73265 1071 34111 50538 64945 66753 67564 67730 73 16667 19445 21970 29195 52889 54561 27600 14 23471 24458 25450 25721 25783 25783 1 17180 24111 25887 26064 26149 26149
2mm dataset2 2942160 420241 368940 350853 339831 2941804 2942160 651880 324973 350022 1697695 0 6068 3693 358 856494 19346 1264 4598 110 1122 61 651910 4268 281565 6243 6504 3072 2509 168744 141543 242 17247 19652 206 115 0 0 0 0 0 0 0 10498 9404 9780 10948 12149 9290 9727 9993 15475 9985 9493 9586 346024 14984 8809 5204705 1930532 3845249 4233323 871563 925588 1599187 2729226 3189878 3237242 3297821 651880 1071 319536 337899 480247 640089 646116 646316 73 16727 19860 22591 24608 222943 631500 324973 14 314959 319460 321432 323050 323114 323137 1 314353 321230 323009 323171 323251 323266
2mm dataset3 14105281191 1835697306 1670931056 1665424286 1663057471 14105280905 14105281191 3313008955 1659651058 1658704913 8301772447 0 5958 3355 287 4140178309 2654280 6290 581390 9126 958 58 3313008985 581060 1448185193 6457 6179 2101 2403 3849 493 241 112 865229753 792249217 13 0 0 0 0 98876800 107865001 113 1690142 1689140 1689488 1690673 1691777 1689022 1689441 1689722 1695112 1689731 1689213 1689333 1658700969 3374594 1688588 24886125450 9128228107 16101058622 20687809295 4129520133 4141741852 7470353209 13382047056 15765139293 15774079666 15792182192 3313008955 1055 1655306029 1655322042 1655323206 1655324276 3311323396 3311323560 73 19934 22689 25124 26211 29042 30662 1659651058 14 1657693015 1659648911 1659649131 1659649370 1659649377 1659649377 1 1659633902 1659640678 1659642453 1659642600 1659642651 1659642651
3mm dataset1 392129 57803 51175 45982 43022 391773 392129 89979 36590 65881 246114 0 6208 3560 358 54992 12638 1146 2998 86 1069 60 90010 2625 40416 6454 6280 3291 23443 5042 1620 251 168 151 252 17 0 0 0 0 0 0 0 6245 5129 5514 6753 7921 5009 5448 5785 11288 5707 5218 5333 61817 6427 4542 697322 237420 452443 503302 98519 120229 191293 325183 349762 372535 392333 89979 1079 42006 58460 81205 83369 84267 84431 73 16828 19636 22176 36015 69485 71105 36590 16 32353 33340 34373 34649 34758 34758 1 25996 33009 34791 34978 35078 35078
3mm dataset2 4755776 634265 611881 594232 582307 4755420 4755776 1130832 569150 592873 2918794 0 6278 3702 358 1205212 19250 1299 5580 125 1186 62 1130862 4905 493794 6314 7488 2581 2609 159330 386850 245 31901 34510 181 150 4 0 0 0 0 0 0 13701 12534 12941 14169 15412 12427 12880 13193 18795 13123 12635 12739 588770 21230 11949 8343846 3014734 6299631 7042048 1229264 1280585 2438013 5179730 5245117 5308681 5395220 1130832 1080 553646 573642 697580 1115817 1121473 1125206 73 17172 20626 23482 28100 431489 1109241 569150 16 558213 561199 564113 567135 567215 567255 1 558197 565257 567046 567212 567299 567325
3mm dataset3 21672470080 2724195618 2717880478 2712372191 2709787996 21672469794 21672470080 5400049440 2704656507 2703663805 13524340116 0 6074 3375 287 5437203909 5194653 7503 838895 13153 962 58 5400049471 728564 2362085449 6156 5970 2375 2707 3610 484 246 110 792349302 1907764070 13 0 0 0 0 188764700 148335600 115 2601374 2600344 2600723 2601977 2603038 2600226 2600664 2601006 2606367 2600938 2600424 2600556 2703659813 5196996 2599789 37928642187 13560492780 24705914887 32506397743 5427222778 5440029498 10857251563 24364393008 24379158908 24391816084 24418911492 5400049440 1055 2697437329 2697453413 2697454578 2697455648 5397453868 5397454032 73 20311 23080 25515 26711 29457 31077 2704656507 16 2702603366 2704654345 2704654565 2704654804 2704654811 2704654811 1 2704638619 2704645504 2704647289 2704647436 2704647487 2704647487
adi dataset1 569377 120205 109772 95271 74289 569021 569377 137198 54680 69268 306153 0 6006 3378 358 170005 11451 2202 2844 83 1004 59 137229 2506 55008 17338 34477 6292 7511 6911 960 5655 153 152 249 17 0 0 0 0 0 0 0 6525 5501 5826 6975 8139 5381 5787 6044 11466 6078 5569 5655 65299 7187 4907 965045 401271 746439 871206 208855 298830 410710 474276 543326 609060 626778 137198 1067 64164 107039 128301 130754 131511 131675 73 29351 32097 47515 74433 117005 118625 54680 13 34662 43047 52019 52870 52898 52898 1 2757 16051 24985 51819 53355 53355
adi dataset2 7818231 1912493 1874122 1800742 1668673 7817875 7818231 1934527 840495 585586 3693927 0 5998 3382 358 3503325 15371 8128 4428 109 1015 59 1934558 4079 726678 240504 592687 12616 33343 57303 159328 640 819 1609 104859 93 0 0 0 0 0 0 0 14452 13382 13720 14857 16095 13263 13679 13930 19406 13962 13460 13541 581610 22952 12788 12863870 6081906 11381016 13773155 3420837 4918460 6821176 7661033 8652077 9630322 9689685 1934527 1067 949035 1510146 1910369 1920564 1928786 1928996 73 285618 288368 559946 560943 1102179 1915803 840495 13 543066 685330 833342 835864 838660 838688 1 4331 145700 286592 286754 829745 839083
adi dataset3 27909017332 6971936160 6964818830 6949845811 6921899714 27909017046 27909017332 6973069829 2992517090 1993294382 12963399362 0 5729 3312 287 12949304066 1009853 1499994 502110 7890 905 58 6973069860 501529 2615778328 871758910 2179638063 1873823 5618118 8737100 18466444 36436241 74868109 191899150 427826670 165232508 6489 11978 24956 48913 98325 196650 374047556 2002414 2001771 2001818 2003066 2003814 2001638 2001719 2002180 2006948 2002036 2001540 2001671 1993290695 3999599 2000946 45848721293 21924429354 35379535320 49826117394 12452338783 17930631134 24902184270 27892468096 31386232592 34876257257 34886749198 6973069829 781 3483040913 5476556723 5476557738 5476558702 6971561413 6971561577 72 996019841 996021999 996024373 996025424 1992031913 1992033460 2992517090 12 1991019100 2491017072 2491017278 2491017507 2992011012 2992011012 1 501468 498510012 498511753 498511890 997510938 997510938
atax dataset1 227705 38011 31476 26832 24031 227309 227705 50853 16055 45023 142565 0 5998 3535 399 16800 10880 1161 2872 84 1036 60 51265 2539 25214 6798 6353 2368 2885 3796 501 249 148 152 245 17 0 0 0 0 0 0 0 5112 4081 4368 5450 6702 3959 4348 4564 9918 4658 4146 4215 41061 4377 3496 407672 134806 223084 260949 58994 85273 113268 146582 167218 185681 196606 50853 1065 25685 41956 43290 44410 45163 45329 73 16558 19301 21755 23068 30693 32365 16055 14 11896 12884 13942 14220 14249 14249 1 5796 12598 14378 14590 14705 14705
atax dataset2 513538 113366 96618 76862 66476 513060 513538 89357 41989 68065 269432 0 5998 3381 481 145596 11079 1432 4498 109 1002 59 92868 4165 56983 10177 6222 2003 2819 9139 541 250 111 152 214 92 0 0 0 0 0 0 0 5540 4359 4668 5763 7154 4237 4642 4865 10725 4936 4434 4504 64097 4920 3771 902840 348290 608732 708480 175501 237964 335542 445273 479636 505444 537871 89357 1065 63974 80178 81363 82932 83668 83865 73 16471 19209 21659 22775 36205 70938 41989 14 31317 39556 39800 40181 40202 40221 1 31417 38223 39995 40290 40468 40478
atax dataset3 92055416 26991302 20499961 16255427 13583097 92038261 92055416 12025334 8016315 7031407 40065633 0 6042 3417 17158 42904432 16517 6800 502166 7885 1023 61 13020978 501833 9992402 1008444 6002 2428 2773 3569 512 245 113 1395718 106802 13 0 0 0 0 0 0 124 12699 9702 10062 11184 14322 9601 10028 10283 17977 10315 9805 9854 7027397 15662 9125 158143127 70013715 111427824 142994191 34999984 50986290 70963804 101912502 102944611 102982958 109988845 12025334 1069 11991001 12008955 12010143 12011220 12019591 12019770 73 18298 21064 23537 24820 30984 32960 8016315 13 6015147 8012099 8012342 8012584 8014525 8014530 1 7998554 8005408 8007192 8007408 8010867 8011236
bicg dataset1 230154 38349 31318 25691 22302 229762 230154 56050 16971 44356 142737 0 6068 3567 395 19888 10770 1131 2882 85 1036 60 56081 2548 23187 7662 12134 2559 3083 3587 496 252 153 151 252 17 0 0 0 0 0 0 0 5070 4047 4332 5435 6660 3925 4315 4553 9765 4624 4113 4196 40368 4310 3467 406303 137902 230090 274476 62978 87326 114283 145258 170390 189356 200605 56050 1067 30674 47183 48450 49583 50352 50518 73 16575 19365 21867 23803 35468 37140 16971 14 12859 13766 14830 15114 15160 15160 1 3442 10304 12094 13718 15592 15592
bicg dataset2 538016 123349 94105 71597 58153 537546 538016 132324 49297 60926 265791 0 6068 3398 473 181394 10897 1335 4514 110 1001 59 132354 4180 35935 18685 60019 2249 2451 7517 503 243 112 153 214 93 0 0 0 0 0 0 0 5282 4258 4555 5677 6887 4137 4533 4783 10222 4834 4329 4414 56933 4721 3673 897238 380170 635330 837019 204579 274282 357430 431178 513134 542731 576031 132324 1067 107311 123336 124520 125886 126636 126833 73 16397 19141 21595 30199 66098 113530 49297 14 38675 46833 47077 47472 47510 47529 1 9951 16822 18599 32244 47636 47753
